2016-06-07 23:16:07 upgrade libgdk-pixbuf2.0-common:all 2.31.1-2+deb8u4 2.31.1-2+deb8u5
2016-06-07 23:16:07 status half-configured libgdk-pixbuf2.0-common:all 2.31.1-2+deb8u4
2016-06-07 23:16:07 status unpacked libgdk-pixbuf2.0-common:all 2.31.1-2+deb8u4
2016-06-07 23:16:07 status half-installed libgdk-pixbuf2.0-common:all 2.31.1-2+deb8u4
2016-06-07 23:16:08 status half-installed libgdk-pixbuf2.0-common:all 2.31.1-2+deb8u4
2016-06-07 23:16:08 status unpacked libgdk-pixbuf2.0-common:all 2.31.1-2+deb8u5
2016-06-07 23:16:08 status unpacked libgdk-pixbuf2.0-common:all 2.31.1-2+deb8u5
2016-06-07 23:16:08 upgrade libksba8:amd64 1.3.2-1 1.3.2-1+deb8u1
2016-06-07 23:16:08 status half-configured libksba8:amd64 1.3.2-1
2016-06-07 23:16:08 status unpacked libksba8:amd64 1.3.2-1
2016-06-07 23:16:08 status half-installed libksba8:amd64 1.3.2-1
2016-06-07 23:16:08 status half-installed libksba8:amd64 1.3.2-1
2016-06-07 23:16:08 status unpacked libksba8:amd64 1.3.2-1+deb8u1
2016-06-07 23:16:08 status unpacked libksba8:amd64 1.3.2-1+deb8u1
2016-06-07 23:16:08 upgrade tzdata:all 2016c-0+deb8u1 2016d-0+deb8u1
2016-06-07 23:16:08 status half-configured tzdata:all 2016c-0+deb8u1
2016-06-07 23:16:08 status unpacked tzdata:all 2016c-0+deb8u1
2016-06-07 23:16:08 status half-installed tzdata:all 2016c-0+deb8u1
2016-06-07 23:16:09 status half-installed tzdata:all 2016c-0+deb8u1
2016-06-07 23:16:09 status unpacked tzdata:all 2016d-0+deb8u1
2016-06-07 23:16:09 status unpacked tzdata:all 2016d-0+deb8u1
2016-06-07 23:16:09 trigproc man-db:amd64 2.7.0.2-5 <ninguna>
2016-06-07 23:16:09 status half-configured man-db:amd64 2.7.0.2-5
2016-06-07 23:16:10 status installed man-db:amd64 2.7.0.2-5
2016-06-07 23:16:10 startup packages configure
2016-06-07 23:16:10 configure tzdata:all 2016d-0+deb8u1 <ninguna>
2016-06-07 23:16:10 status unpacked tzdata:all 2016d-0+deb8u1
2016-06-07 23:16:10 status half-configured tzdata:all 2016d-0+deb8u1
2016-06-07 23:16:11 status installed tzdata:all 2016d-0+deb8u1
2016-06-07 23:16:11 startup archives unpack
2016-06-07 23:16:11 upgrade libxapian22:amd64 1.2.19-1 1.2.19-1+deb8u1
2016-06-07 23:16:11 status half-configured libxapian22:amd64 1.2.19-1
2016-06-07 23:16:11 status unpacked libxapian22:amd64 1.2.19-1
2016-06-07 23:16:11 status half-installed libxapian22:amd64 1.2.19-1
2016-06-07 23:16:11 status half-installed libxapian22:amd64 1.2.19-1
2016-06-07 23:16:11 status unpacked libxapian22:amd64 1.2.19-1+deb8u1
2016-06-07 23:16:11 status unpacked libxapian22:amd64 1.2.19-1+deb8u1
2016-06-07 23:16:11 upgrade initramfs-tools:all 0.120+deb8u1 0.120+deb8u2
2016-06-07 23:16:11 status half-configured initramfs-tools:all 0.120+deb8u1
2016-06-07 23:16:11 status unpacked initramfs-tools:all 0.120+deb8u1
2016-06-07 23:16:11 status half-installed initramfs-tools:all 0.120+deb8u1
2016-06-07 23:16:11 status triggers-pending man-db:amd64 2.7.0.2-5
2016-06-07 23:16:11 status half-installed initramfs-tools:all 0.120+deb8u1
2016-06-07 23:16:11 status unpacked initramfs-tools:all 0.120+deb8u2
2016-06-07 23:16:11 status unpacked initramfs-tools:all 0.120+deb8u2
2016-06-07 23:16:11 upgrade libxml2-utils:amd64 2.9.1+dfsg1-5+deb8u1 2.9.1+dfsg1-5+deb8u2
2016-06-07 23:16:11 status half-configured libxml2-utils:amd64 2.9.1+dfsg1-5+deb8u1
2016-06-07 23:16:11 status unpacked libxml2-utils:amd64 2.9.1+dfsg1-5+deb8u1
2016-06-07 23:16:11 status half-installed libxml2-utils:amd64 2.9.1+dfsg1-5+deb8u1
2016-06-07 23:16:11 status half-installed libxml2-utils:amd64 2.9.1+dfsg1-5+deb8u1
2016-06-07 23:16:11 status unpacked libxml2-utils:amd64 2.9.1+dfsg1-5+deb8u2
2016-06-07 23:16:11 status unpacked libxml2-utils:amd64 2.9.1+dfsg1-5+deb8u2
2016-06-07 23:16:11 upgrade openssl:amd64 1.0.1k-3+deb8u5 1.0.1t-1+deb8u2
2016-06-07 23:16:11 status half-configured openssl:amd64 1.0.1k-3+deb8u5
2016-06-07 23:16:11 status unpacked openssl:amd64 1.0.1k-3+deb8u5
2016-06-07 23:16:11 status half-installed openssl:amd64 1.0.1k-3+deb8u5
2016-06-07 23:16:11 status half-installed openssl:amd64 1.0.1k-3+deb8u5
2016-06-07 23:16:11 status unpacked openssl:amd64 1.0.1t-1+deb8u2
2016-06-07 23:16:11 status unpacked openssl:amd64 1.0.1t-1+deb8u2
2016-06-07 23:16:11 trigproc man-db:amd64 2.7.0.2-5 <ninguna>
2016-06-07 23:16:11 status half-configured man-db:amd64 2.7.0.2-5
2016-06-07 23:16:12 status installed man-db:amd64 2.7.0.2-5
2016-06-07 23:16:12 startup packages configure
2016-06-07 23:16:12 configure perl-modules:all 5.20.2-3+deb8u5 <ninguna>
2016-06-07 23:16:12 status unpacked perl-modules:all 5.20.2-3+deb8u5
2016-06-07 23:16:12 status unpacked perl-modules:all 5.20.2-3+deb8u5
2016-06-07 23:16:12 status half-configured perl-modules:all 5.20.2-3+deb8u5
2016-06-07 23:16:12 status installed perl-modules:all 5.20.2-3+deb8u5
2016-06-07 23:16:12 configure perl:amd64 5.20.2-3+deb8u5 <ninguna>
2016-06-07 23:16:12 status unpacked perl:amd64 5.20.2-3+deb8u5
2016-06-07 23:16:12 status half-configured perl:amd64 5.20.2-3+deb8u5
2016-06-07 23:16:12 status installed perl:amd64 5.20.2-3+deb8u5
2016-06-07 23:16:12 configure libperl5.20:amd64 5.20.2-3+deb8u5 <ninguna>
2016-06-07 23:16:12 status unpacked libperl5.20:amd64 5.20.2-3+deb8u5
2016-06-07 23:16:12 status half-configured libperl5.20:amd64 5.20.2-3+deb8u5
2016-06-07 23:16:12 status installed libperl5.20:amd64 5.20.2-3+deb8u5
2016-06-07 23:16:12 status triggers-pending libc-bin:amd64 2.19-18+deb8u4
2016-06-07 23:16:12 configure libssl-doc:all 1.0.1t-1+deb8u2 <ninguna>
2016-06-07 23:16:12 status unpacked libssl-doc:all 1.0.1t-1+deb8u2
2016-06-07 23:16:12 status half-configured libssl-doc:all 1.0.1t-1+deb8u2
2016-06-07 23:16:12 status installed libssl-doc:all 1.0.1t-1+deb8u2
2016-06-07 23:16:12 configure libssl1.0.0:amd64 1.0.1t-1+deb8u2 <ninguna>
2016-06-07 23:16:12 status unpacked libssl1.0.0:amd64 1.0.1t-1+deb8u2
2016-06-07 23:16:12 status half-configured libssl1.0.0:amd64 1.0.1t-1+deb8u2
2016-06-07 23:16:12 status installed libssl1.0.0:amd64 1.0.1t-1+deb8u2
2016-06-07 23:16:12 configure libssl-dev:amd64 1.0.1t-1+deb8u2 <ninguna>
2016-06-07 23:16:12 status unpacked libssl-dev:amd64 1.0.1t-1+deb8u2
2016-06-07 23:16:12 status half-configured libssl-dev:amd64 1.0.1t-1+deb8u2
